English,汉语,Pinyin
math,数学,shu4xue2
algebra,代数学,dai4 shu4 xue2
geometry,几何学,ji3 he2 xue2
astronomy,天文学,tian1 wen2 xue2
PE,体育,ti3yu4
science,科学,ke1xue2
art,艺术,yi4shu4
music,音乐,yin1yue4
history,历史,li4shi3
library,图书馆,tu2shu1 guan3
geography,地理,di4li3
chemistry,化学,hua4xue2
biology,生物,sheng1wu4
physics,物理,wu4li3
medicine,医学,yi1 xue2
law,法学,fa3 xue2
philosophy,哲学,zhe2 xue2
psychology,心理学,xin1 li3 xue2
accounting,会计,kuai4 ji4
economics,经济,jing1 ji4
finance,金融,jin1 rong2
computer science,计算机科学,ji4 suan4 ji1 ke1 xue2
